id,tag,type,location,clan_level,clan_points,clan_v_points,required_trophies,war_frequency,war_win_streak,war_wins,war_league,members,chat_language
2,#2PRVJPJRY,closed,,5,9687,4682,0,always,0,0,Crystal League III,13,Español
3,#2Q9J2CYYY,inviteOnly,,1,5958,6581,0,always,0,0,Unranked,6,
4,#YJ2JLRRP,closed,Philippines,13,9870,10686,2500,always,1,450,Silver League I,19,
5,#2YRC20JPJ,open,International,4,6513,8264,400,always,1,24,Silver League II,14,Pусский
6,#2QLPRRCY2,inviteOnly,International,3,9657,11250,1800,always,0,13,Unranked,15,Bahasa Indonesia
7,#22QUUQ9L8,inviteOnly,Iran,2,8989,11250,0,always,0,9,Unranked,13,فارسی
8,#P90R028Y,closed,Iran,7,8497,11043,0,always,0,108,Unranked,10,
9,#2Q9LYPPGP,inviteOnly,Indonesia,4,9120,7330,0,always,1,25,Unranked,5,Bahasa Indonesia
10,#2Q2Q820J0,inviteOnly,,2,8708,8846,0,always,0,3,Gold League II,13,
11,#2Y9YLGRUU,inviteOnly,International,4,6047,4919,3000,always,1,37,Unranked,6,فارسی
12,#2G0P8CRUV,open,India,2,8706,7933,2000,always,0,7,Silver League I,12,English
13,#2QJC8RY2Q,inviteOnly,India,4,13009,15070,1000,always,0,11,Silver League I,19,English
14,#2QUJP9C0G,inviteOnly,Cambodia,2,4610,5249,0,always,0,5,Unranked,5,English
15,#2QP8VVGRJ,inviteOnly,,5,13500,14166,0,always,2,22,Silver League I,22,
16,#2P89PG9VJ,inviteOnly,Indonesia,2,4178,3583,1200,always,0,5,Silver League II,6,Bahasa Indonesia
17,#2PCRCGLCG,closed,,4,8655,12184,1000,always,0,15,Silver League II,14,
18,#2Q8U80VUG,inviteOnly,Turkmenistan,1,5621,6702,0,always,0,0,Unranked,11,Türkçe
19,#2QRGLJCGP,inviteOnly,International,2,6596,5963,600,always,0,6,Unranked,8,English
20,#2LVP80JCQ,closed,Indonesia,1,9245,6617,2500,always,0,1,Unranked,10,Bahasa Indonesia
21,#2LQCRCG0C,inviteOnly,India,3,12491,12699,0,always,3,17,Unranked,17,English
22,#29989LCLV,inviteOnly,Germany,3,7067,6427,0,always,0,19,Unranked,12,
23,#2Q0VU228G,closed,Malaysia,4,12109,5494,0,always,0,14,Gold League II,13,Bahasa Melayu
24,#2QC20YYJY,closed,Philippines,7,20491,15958,5500,always,5,40,Gold League II,37,English
25,#2QGRG0YGV,inviteOnly,India,1,4904,5035,0,always,0,0,Unranked,6,English
26,#2QRULR292,open,Russia,4,12687,15542,1200,always,0,14,Silver League III,21,Pусский
27,#2YQ0UUJ0L,inviteOnly,Algeria,1,1086,870,0,always,0,2,Unranked,14,
28,#2G0QUGPGJ,open,International,2,26311,25015,2500,always,0,2,Unranked,30,
29,#2LPR222VU,closed,Indonesia,4,11847,10205,0,always,0,45,Unranked,12,
30,#2QP0GC0L8,inviteOnly,,2,8286,11229,0,always,0,5,Unranked,15,
31,#2QJLGUL8G,inviteOnly,Indonesia,3,7604,5355,1200,always,3,22,Unranked,8,Bahasa Indonesia
32,#2LJ2L2QGY,inviteOnly,Georgia,2,7876,7316,0,always,0,8,Unranked,13,English
33,#2QQULGRY9,inviteOnly,,1,2416,2319,200,always,0,1,Unranked,6,
34,#PL000PJ2,inviteOnly,Lebanon,19,39230,39790,0,always,0,289,Master League II,44,English
35,#2QQQJ9R99,inviteOnly,Malaysia,2,6450,7002,0,always,1,12,Unranked,12,Bahasa Melayu
36,#2LL8089LC,inviteOnly,Indonesia,2,2344,1472,4000,always,0,5,Unranked,5,Bahasa Indonesia
37,#2898G2YUQ,inviteOnly,Indonesia,8,15942,17071,0,always,1,85,Gold League III,23,
38,#2QL9VV0GQ,inviteOnly,Pakistan,2,7631,7845,0,always,2,7,Unranked,10,English
39,#2Q9G0QY2V,inviteOnly,India,5,10330,11448,0,always,0,30,Silver League II,17,
40,#2Q2J2YQCL,closed,Malaysia,1,9212,9221,1000,always,0,2,Unranked,10,Bahasa Melayu
41,#2LYVJ29VR,closed,International,5,12401,13323,3000,always,0,24,Gold League III,17,English
42,#2LJ2J0LUQ,inviteOnly,International,2,11620,9843,400,always,0,2,Unranked,12,English
43,#YYQU2R2Y,inviteOnly,Indonesia,3,9559,3436,2000,always,0,7,Silver League II,5,
